Column,Description
label,Name of the analyzed group
N,Sample size
nhap,Number of unique haplotypes
S,Number of polymorphic sites
S_inf,Parsimony-informative sites
h,Haplotype diversity
pi,Nucleotide diversity (p-distance)
k,Mean absolute number of pairwise differences
theta_w,Watterson's Theta
theta_pi,Tajima's Theta
Tajima_D,Tajima's D-statistic (our calculation)
Tajima_D_allel,Tajima's D-statistic (reference scikit-allel)
Fu_Fs,Fu's Fs-statistic
raggedness,Harpending's raggedness index
p_raggedness,P-value for raggedness index
SSD,Sum of squared deviations
p_SSD,P-value for SSD
Phi_ST,Fixation index (AMOVA)
p_Phi_ST,P-value for Phi_ST
var_among_pct,% of variance among regions
var_within_pct,% of variance within regions
